year;model_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;reference path;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit;;;01.01.2023;;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];;[kg CO2e];;;[kg CO2e];;;;
Quelle;;;FZ27.11,KBA;;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;;Klimapfade 2.0 ;;;Klimapfade 2.0 ;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;2,686 kg co2e/l;;;;;;;;;;;;;;referenzpfad 2030 * 0,68;;;referenzpfad 2030 * 0,68;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;copy_share_on_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;new_emission_targets_germany_2030_fleet;co2e_2025;emission_target_2030;co2e_2035;co2e_2040;emission_target_2045;co2e_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45
icev;Mini;Fiat500;2512838,98;0,053626357;0,07773461;0,105097733;23909545,00;0,057017194;1177;1102;0;1102;23,625;1078,375;13739;gasoline;4,8;0;5,8;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Kleinwagen;Mini;6658670,38;0,142102314;0,205985799;0,278494232;23909545,00;0,151087555;1278;1203;0;1203;27;1176;13739;gasoline;5,6;0;6;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Kompaktklasse;Golf;8779556,65;0,18736403;0,271595362;0,367198817;23909545,00;0,199211205;1528;1453;0;1453;37,125;1415,875;13739;gasoline;4,7;0;6,1;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Mittelklasse;C-Klasse;4837951,81;0,10324646;0,392852212;0,395904403;12220000,00;0,097914279;1758;1683;0;1683;27;1656;13739;diesel;5,5;0;7,5;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;obereMittelklasse;A6;1252498,34;0,026729497;0,038746005;0,052384867;23909545,00;0,028419625;1972;1897;0;1897;43,875;1853,125;13739;gasoline;7,4;0;8,3;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Oberklasse;A8;179718,07;0,003835353;0,005559574;0,007516583;23909545,00;0,004077866;2238;2163;0;2163;48,6;2114,4;13739;gasoline;9,5;0;10,5;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;SUV;X1;3609355,79;0,077027061;0,11165533;0,150958782;23909545,00;0,081897543;1698;1623;0;1623;34,425;1588,575;13739;gasoline;5,1;0;6,1;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Gel‰ndewagen;Tiguan;2366284,34;0,050498742;0,192147436;0,19364029;12220000,00;0,048923594;2005;1930;0;1930;39,15;1890,85;13739;diesel;6,6;0;7;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Sportwagen;911;730731,68;0,015594504;0,022605166;0,030562341;23909545,00;0,016580557;1683;1608;0;1608;43,2;1564,8;13739;gasoline;8,4;0;9,5;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;MiniVan;B-Klasse;1438673,45;0,03070265;0,044505327;0,060171511;23909545,00;0,032644003;1651;1576;0;1576;33,75;1542,25;13739;gasoline;5,6;0;5,8;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;GroﬂraumVans;Touran;1838072,40;0,039226201;0,149255478;0,15041509;12220000,00;0,037200357;1847;1772;0;1772;39,15;1732,85;13739;diesel;4,5;0;7,1;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Utilities;Transporter;755291,67;0,016118637;0,061331326;0,061807829;12220000,00;0,015286188;2062;1987;0;1987;54;1933;13739;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Wohnwagen;FiatDucato;1018184,02;0,021729009;0,082678758;0,083321115;12220000,00;0,02060681;2966;2891;0;2891;50,625;2840,375;13739;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Mini;fiat500;43756,00;0,000933794;0,001353591;0,029756776;1470455,00;0,000800549;1177;1102;6;1096;23,625;1072,375;13739;gasoline;5,3;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Kleinwagen;kia rio;237345,00;0,005065166;0,007342262;0,161409224;1470455,00;0,004342404;1278;1203;6;1197;27;1170;13739;gasoline;5,4;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Kompaktklasse;Golf ;255200,00;0,005446209;0,007894606;0,173551724;1470455,00;0,004669074;1528;1453;6;1447;37,125;1409,875;13739;gasoline;5,2;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Mittelklasse; C-Klasse;236830,00;0,005054176;0,00732633;0,161058992;1470455,00;0,004332982;1758;1683;6;1677;27;1650;13739;gasoline;6,3;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;obereMittelklasse;A6;150573,00;0,00321337;0,012226855;0,102398917;1470455,00;0,002754845;1972;1897;6;1891;43,875;1847,125;13739;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Oberklasse;A8 ;23436,00;0,000500146;0,000724992;0,015937924;1470455,00;0,000428779;2238;2163;6;2157;48,6;2108,4;13739;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;SUV;x1;301941,00;0,006443706;0,009340537;0,205338484;1470455,00;0,005524236;1698;1623;6;1617;34,425;1582,575;13739;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Gel‰ndewagen;nissan x-trail;190283,00;0,004060819;0,015451394;0,129404164;1470455,00;0,00348137;2005;1930;6;1924;39,15;1884,85;13739;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;Sportwagen;mercedes sl;10419,00;0,000222351;0,000322312;0,007085562;1470455,00;0,000190623;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;MiniVan;B-Klasse;1001,00;2,13623E-05;8,12834E-05;0,000680742;1470455,00;1,8314E-05;1651;1576;6;1570;33,75;1536,25;13739;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
hev;GroﬂraumVans;peugeot 5008;11027,00;0,000235327;0,00034112;0,007499039;1470455,00;0,000201747;1847;1772;6;1766;39,15;1726,85;13739;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
