unit;;;01.01.2023;[%];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];;[kgco2e/kgFhz];[kgco2e/kgFhz];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kWh];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];;;;;;;;;;;;[km];[km];[kWh];[kWh];[kW];[kW];[kW];[kg];[kg];;
Quelle;;;FZ27.11,KBA;;ADAC;;;KBA;;ADAC;ADAC;ADAC;;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;;;;;;;;;;;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;
description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicleclass;segments;usedmodel;vehiclestock;shareontotalvehicles;averagevehicleweight;batteryweight;vehicleweightw/obattery;mileage;energysupply;consumptionmanufacturer_l;consumptionmanufacturer_kWh;realconsumption;consumptionAdBlue;co2eproductionbestcase;co2eproductionperkg;co2eproductionworstcase;co2ebatteryproductionbestcase;co2ebatteryproduction;co2ebatteryproductionworstcase;co2eelectricenginebestcase;co2eelectricengine;co2eelectricengineworstcase;co2edrivechain;co2egasolineTtW;co2egasolineWtW;co2edieselTtW;co2edieselWtW;co2ehvoTtW;co2ehvoWtW;co2eptlTtW;co2eptlWtW;co2bioliqTtW;co2bioliqWtW;co2eelectricity;rangewltp;rangewltpcity;batterycapacitybrutto;batterycapacitynetto;powercumbustionengine;powerelectricengine;powerelectricengine2;weightelectricengine;weightelectricdrivechain;co2esavingsbattery;emissiontargetsgermany
icev;Mini;Fiat500;3.116.418;;1.177;;;13.739;gasoline;4,8;;5,8;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Kleinwagen;Mini;8.258.070;;1.278;;;13.739;gasoline;5,6;;6;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Kompaktklasse;Golf;10.888.389;;1.528;;;13.739;gasoline;4,7;;6,1;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Mittelklasse;C-Klasse;5.351.751;;1.758;;;13.739;diesel;5,5;;7,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;obereMittelklasse;A6;1.553.346;;1.972;;;13.739;gasoline;7,4;;8,3;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Oberklasse;A8;222.886;;2.238;;;13.739;gasoline;9,5;;10,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;SUV;X1;4.476.316;;1.698;;;13.739;gasoline;5,1;;6,1;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Gel‰ndewagen;Tiguan;2.617.588;;2.005;;;13.739;diesel;6,6;;7;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Sportwagen;911;906.252;;1.683;;;13.739;gasoline;8,4;;9,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;MiniVan;B-Klasse;1.784.240;;1.651;;;13.739;gasoline;5,6;;5,8;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;GroﬂraumVans;Touran;2.033.279;;1.847;;;13.739;diesel;4,5;;7,1;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Utilities;Transporter;835.505;;2.062;;;13.739;diesel;7;;;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Wohnwagen;FiatDucato;1.126.317;;2.966;;;13.739;diesel;7,5;;;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Mini;;43.756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Kleinwagen;;237.345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Kompaktklasse;;255.200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Mittelklasse;;236.830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;obereMittelklasse;;150.573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Oberklasse;;23.436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;SUV;;301.941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Gel‰ndewagen;;190.283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Sportwagen;;10.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;MiniVan;;1.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;GroﬂraumVans;;11.027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Utilities;;8.598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hev;Wohnwagen;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phev;Mini;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phev;Kleinwagen;Golf;14.373;;1624;130;;;super;1,1;14,4;;;;;;;;;;;;;;;;;;;;;;;;64;;13;10,4;110;85;;;;;
phev;Kompaktklasse;A3;176.793;;1635;130;;;super;1,1;14,4;;;;;;;;;;;;;;;;;;;;;;;;66;73;12,8;10,4;110;85;;;;;
phev;Mittelklasse;VWPassat;135.377;;1759;;;;super;1,3;16,3;;;;;;;;;;;;;;;;;;;;;;;;;;13;;115;85;;;;;
phev;obereMittelklasse;E300e9G-Tronics;64.243;;1985;;;;super;1,5;17;;;;;;;;;;;;;;;;;;;;;;;;51;;13,5;;155;90;;;;;
phev;Oberklasse;Porschepanamera;9.612;;2285;;;;superplus;2,3;23,6;;;;;;;;;;;;;;;;;;;;;;;;54;;17,9;14,3;243;100;;;;;
phev;SUV;Renaultcapture;266.489;;1616;103;;;super;1,5;17,3;;;;;;;;;;;;;;;;;;;;;;;;54;65;9,8;;68;49;25;;;;
phev;Gel‰ndewagen;volvoXC40;171.004;;1812;;;;super;2,1;15,2;;;;;;;;;;;;;;;;;;;;;;;;45;55;10,7;;132;60;;;;;
phev;Sportwagen;;2.136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phev;MiniVan;Peogeot3008;18.545;;1908;;;;super;1,3;15,3;;;;;;;;;;;;;;;;;;;;;;;;63;74;14,2;12,9;147;81;83;;;;
phev;GroﬂraumVans;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phev;Utilities;VWMultivan;4.201;;2257;;;;super;1,8;17,3;;;;;;;;;;;;;;;;;;;;;;;;50;;13;10,4;110;85;;;;;
phev;Wohnwagen;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bev;Mini;fiat500e;198.687;;1.330;182;1.148;;battery;;13;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;190;257;23,8;21,3;;70;;50;27;;
bev;Kleinwagen;renaultzoe;218.839;;1.577;326;1.251;;battery;;17,2;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;316;;44,1;41;;80;;50;27;;
bev;Kompaktklasse;VWID.3;138.244;;1.815;364;1.451;;battery;;15,2;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;429;587;62;58;;150;;50;27;;
bev;Mittelklasse;Model3;87.845;;1.825;;;;battery;;14,4;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;491;;;62;;208;;50;27;;
bev;obereMittelklasse;i4;3.194;;2.125;550;1.575;;battery;;16,3;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;584;;83,9;81,1;;250;;50;27;;
bev;Oberklasse;Taycan;24.071;;2.125;;;;battery;;20,3;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;432;451;79,2;71;;300;;50;27;;
bev;SUV;ModelY;281.894;;1.984;;;;battery;;15,7;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;455;;;62;;220;;50;27;;
bev;Gel‰ndewagen;Q8;33.650;;2.585;;;;battery;;20,3;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;488;;95;89;;;;50;27;;
bev;Sportwagen;;35;;;;;;battery;;;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;;;;;;;;50;27;;
bev;MiniVan;Kiae-Soul;6.382;;1.610;315;1.295;;battery;;15,6;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;276;407;42;39,2;;100;;50;27;;
bev;GroﬂraumVans;;3.443;;;;;;battery;;;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;;;;;;;;50;27;;
bev;Utilities;e-Sprinter;9.905;;2.455;;;;battery;;33,9;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;120;;41;35;;85;;50;27;;
bev;Wohnwagen;;63;;;;;;battery;;;;;;6,2;;;82,5;;;4,5;;42;;;;;;;;;;;;;;;;;;;50;27;;
lkw;MittelschwererLkwimVerteilverkehrICEDiesel;;;;12800;;;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lkw;SchwererLKWimTransitverkehrICEDiesel;;;;14700;;;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-EEONC;;;;11300;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;350;;;270;;
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-ATONC;;;;11300;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;350;;;270;;
lkw;SchwererLKWimTransitverkehrBEV-AT-OL;;;;13200;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;450;;;350;;
lkw;SchwererLKWimTransitverkehrBEV-EE-OL;;;;13200;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;450;;;350;;