unit;;;01.01.2023;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;;;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];;[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;
Quelle;;;FZ27.11,KBA; 1 ;1;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;;;;
description;;;;;   ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;new_emission_targets_germany_2030_fleet;co2e_2025;co2e_2030;co2e_2035;emission_target_2040;co2e_2045;co2e_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45
icev;Mini;Fiat500;3116418;0,07218884;0,099866253;31205917;1177;1102;0;1102;23,625;1078,375;13739;gasoline;4,8;0;5,8;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Kleinwagen;vw polo;8258070;0,191290287;0,264631544;31205917;1145;1070;0;1070;27;1043;13739;gasoline;4,4;0;5,4;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Kompaktklasse;Golf;10888389;0,271546507;0,348920655;31205917;1528;1453;0;1453;37,125;1415,875;13739;gasoline;4,7;0;6,1;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Mittelklasse;C-Klasse;5351751;0,12396819;0,447304763;11964440;1758;1683;0;1683;27;1656;13739;diesel;5,5;0;7,5;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;obereMittelklasse;A6;1553346;0,035981773;0,049777291;31205917;1972;1897;0;1897;43,875;1853,125;13739;gasoline;7,4;0;8,3;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Oberklasse;S-Klasse;222886;0,005162941;0,007142428;31205917;2080;2005;0;2005;43,83;1961,17;13739;gasoline;8,1;0;8,7;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;SUV;X1, ford kuga ;4476316;0,103689576;0,143444463;31205917;1698;1623;0;1623;34,425;1588,575;13739;gasoline;6,8;0;6,1;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Gel‰ndewagen;Tiguan;2617588;0,060633921;0,218780653;11964440;2005;1930;0;1930;39,15;1890,85;13739;diesel;5,2;0;6,4;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Sportwagen;911;906252;0,02099246;0,029041031;31205917;1683;1608;0;1608;43,2;1564,8;13739;gasoline;8,4;0;9,5;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;MiniVan;B-Klasse;1784240;0,044497321;0,057176336;31205917;1651;1576;0;1576;33,75;1542,25;13739;gasoline;5,6;0;5,8;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;GroﬂraumVans;Touran;2033279;0,047098962;0,169943516;11964440;1847;1772;0;1772;39,15;1732,85;13739;diesel;4,5;0;6;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Utilities;Transporter;835505;0,019353674;0,069832353;11964440;2062;1987;0;1987;54;1933;13739;diesel;6,5;0;7,1;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Wohnwagen;FiatDucato;1126317;0,026090055;0,094138714;11964440;2966;2891;0;2891;50,625;2840,375;13739;diesel;7,5;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Mini;fiat500;43756;0,00094079;0,029756776;1470455;1077;1002;6;996;23,625;972,375;13739;gasoline;5,2;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Kleinwagen;kia rio;237345;0,005103113;0,161409224;1470455;1278;1203;6;1197;27;1170;13739;gasoline;5,4;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Kompaktklasse;Golf ;255200;0,00548701;0,173551724;1470455;1528;1453;6;1447;37,125;1409,875;13739;gasoline;5,1;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Mittelklasse; C-Klasse;236830;0,00509204;0,161058992;1470455;1758;1683;6;1677;27;1650;13739;gasoline;6,2;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;obereMittelklasse;A6;150573;0,003237444;0,102398917;1470455;1972;1897;6;1891;43,875;1847,125;13739;gasoline;6,9;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Oberklasse;A8 ;23436;0,000503893;0,015937924;1470455;2238;2163;6;2157;48,6;2108,4;13739;gasoline;9;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;SUV;x1;301941;0,00649198;0,205338484;1470455;1698;1623;6;1617;34,425;1582,575;13739;gasoline;6,3;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Gel‰ndewagen;nissan x-trail;190283;0,004091241;0,129404164;1470455;2005;1930;6;1924;39,15;1884,85;13739;gasoline;7,1;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Sportwagen;mercedes sl;10419;0,000224017;0,007085562;1470455;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,9;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;MiniVan;B-Klasse;1001;2,15223E-05;0,000680742;1470455;1651;1576;6;1570;33,75;1536,25;13739;gasoline;6;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;GroﬂraumVans;peugeot 5008;11027;0,00023709;0,007499039;1470455;1847;1772;6;1766;39,15;1726,85;13739;gasoline;5,7;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Utilities;ford transit ;8598;0,000184864;0,00584717;1470455;2062;1987;6;1981;54;1927;13739;gasoline;7,7;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
